net,length_um
net2,49.08
net1,46.44
net3,43.16
net5,39.32
net6,38.56
_00_,36.38
net4,36.32
net7,36.1
_01_,33.3
_07_,30.32
net8,24.12
net15,22.66
net11,21.32
net14,20.4
net10,17.9
_06_,17.07
_03_,16.68
_02_,16.36
net13,16.06
net9,15.92
_05_,15.16
in[7],12.79
out[0],11.89
net16,11.22
in[0],10.73
out[7],10.61
_08_,10.24
in[1],9.55
net12,8.52
in[5],7.69
out[6],6.69
in[3],5.97
_04_,5.58
out[3],5.29
out[5],5.29
in[4],4.95
in[2],4.61
in[6],4.61
out[4],4.61
out[1],3.93
out[2],3.93
