net,length_um
net1,47.4
net2,46.11
_00_,44.52
net3,38.76
net8,34.84
net5,32.93
_06_,30.02
_01_,28.4
net6,28.32
net7,27.86
net16,27.02
net4,26.22
net13,24.84
_08_,24.38
_02_,22.68
net9,19.4
net11,18.06
net10,17.24
_04_,16.74
net14,14.4
_05_,14
_03_,13.96
in[7],12.79
out[0],11.89
in[0],10.73
out[7],10.61
net15,10.32
_07_,9.44
out[6],6.69
in[1],6.65
in[5],6.31
in[3],5.97
out[5],5.29
in[4],4.95
in[2],4.61
in[6],4.61
out[3],4.27
out[1],3.93
out[2],3.93
out[4],3.93
net12,2.16
