net,length_um
_00_,51.35
net5,49.08
net7,42.16
net6,38.26
net1,37.27
net15,34.72
_06_,30.88
net2,30.28
_03_,28.02
_01_,26.52
_08_,26.34
net4,26.275
_05_,26.08
_07_,23.84
net3,22.52
net11,19
net10,18.2
net9,18.02
net13,16.42
net12,15.72
_02_,14.8
_04_,13.38
in[7],12.79
net16,12.38
out[0],11.89
in[0],10.73
out[7],10.61
out[6],6.69
net14,6.66
in[1],6.65
net8,6.64
in[5],6.31
in[3],5.97
out[3],5.29
out[5],5.29
in[4],4.95
in[2],4.61
in[6],4.61
out[1],3.93
out[2],3.93
out[4],3.93
